Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Acceptance Criteria),Custom field (Assign to team),Custom field (Backlog Weight),Custom field (Business Value),Custom field (Due Date),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Funding Source),Custom field (Impact),Custom field (Pre-Condition),Custom field (Previous Names),Custom field (Product Line(s)),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Requirements),Custom field (SimV Story Points Deprecated),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (T-Shirt),Custom field (Zephyr Teststep),Comment,Comment,Comment,Comment,Comment
Slide Generation Processing Notification,MMP-542,20409,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,5/14/2015 17:04,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"When generating a long list of slides, the server can sometimes take up to a few minutes to return the completed PowerPoint file to the user, while the modal dialog closes immediately when the button is clicked. If the user navigates away, the user is unable to receive the slides.",,,,,,,,,,,,,,,19/May/15 11:56 AM;DavidTuell;MMP-542.docx;https://jira.dev.simventions.com/secure/attachment/12511/MMP-542.docx,,,#NAME?,,,,,,MMP-2,,,,MMP,,,,USMC,2|hzxewf:,9.22337E+18,,,MMP Sprint 15,,,,8,,,20/May/15 3:47 PM;DavidTuell;Feature works as intended. Attempting to modify look and feel so that tab handling file generation opens in the background and doesn't obscure main UI.,,,,
Handle Multiple Users in Slide Generation Module,MMP-541,20408,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,JosefKoza,DavidTuell,DavidTuell,5/14/2015 17:01,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,When multiple users attempt to use the slide generation feature. One of the two users crashes. This appears to be due to file locks when generating the individual slides.,,,,,,,,,,,,,,,19/May/15 11:55 AM;DavidTuell;MMP-541.docx;https://jira.dev.simventions.com/secure/attachment/12510/MMP-541.docx,,,#NAME?,,,,,,MMP-2,,,,MMP,,,,USMC,2|hzxevr:,9.22337E+18,,,MMP Sprint 15,,,,13,,,"18/May/15 9:45 AM;JosefKoza;Committed under the branch ""MMP_541_Multiple_Users_SlideGen_FileProcessing"".  Do not confuse with ""MMP_541_Multiple_Users_SlideGen"", which was a test branch for making the slide generation work 100% in-memory.",,,,
Research and set up RESTful ASP.NET Web Service,MMP-536,20325,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,5/1/2015 11:59,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"In order to start implementing the interface to FACT, a Web Service approach/design needs to be determined. Investigate and set up web service that will contain entry points to be used as the interface to other web applications.",,,,,,,,,,,,,,,12/May/15 1:36 PM;DavidTuell;MMP-536.docx;https://jira.dev.simventions.com/secure/attachment/12476/MMP-536.docx,12/May/15 8:55 AM;MatthewSerbinski;Web API considerations.docx;https://jira.dev.simventions.com/secure/attachment/12470/Web+API+considerations.docx,,#NAME?,,,,,,MMP-4,,,,,,,,,2|hzxesv:,9.22337E+18,,,MMP Sprint 14,,,,13,,,,,,,
Design and Implement Financial Data Output,MMP-529,20032,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,4/17/2015 9:11,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,Implement Excel export code to group and align financial data on a per development effort basis. Output should clearly separate data between development efforts while including all funding types and data fields requested.,,,,,,,,,,,,,,,27/Apr/15 5:15 PM;DavidTuell;MMP-529.docx;https://jira.dev.simventions.com/secure/attachment/12448/MMP-529.docx,,,#NAME?,,,,,,MMP-10,,,,MMP,,,,USMC,2|hzxeov:,9.22337E+18,,,MMP Sprint 13,,,,13,,,,,,,
Implement Financial Reporting Export UI,MMP-528,20031,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,4/17/2015 9:04,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Implement the dialog that will initiate the export of financial data to Excel. The dialog should show the filters selected, records selected, and provide options to include the following quad fields at a minimum:

- Description of Capability
- Performer

Implement and style the button that instantiates the dialog in the financial reporting UI. Have the dialog return the exported Excel file to the user.",,46800,,,0%,46800,,,,,,,,,27/Apr/15 9:02 AM;MatthewSerbinski;MMP Code Review Checklist - MMP-528.docx;https://jira.dev.simventions.com/secure/attachment/12446/MMP+Code+Review+Checklist+-+MMP-528.docx,,,"- 'Export button' exists in the financial reporting UI that instantiates the dialog.
- The dialog reports on filters and records selected.
- The dialog provides options to include Description of Capability and Performer for each exported development effort.
- The dialog returns the Excel file to the user when export is confirmed.",,,,,,MMP-10,,,,MMP,,,,USMC,2|hzxeo7:,9.22337E+18,,,MMP Sprint 13,,,,13,,,,,,,
ROLLOVER: Rework Execution Flow diagrams and Threat Modeling for SDD,MMP-512,19889,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,4/2/2015 15:46,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The output product from the Microsoft Threat Modeling tool was poorly organized and not able to be utilized in a Word document. Do further research for an appropriate threat modeling format.,,,,,,,,,,,,,,,,,,#NAME?,,,,,,MMP-409,,,,MMP,,,,USMC,2|hzxel3:,9.22337E+18,,,MMP Sprint 12,,,,8,,,15/Apr/15 2:37 PM;DavidTuell;No source code modified for this task. Document will be reviewed in future work.,,,,
Change MMP Database Credentials to use Trusted Connections,MMP-416,19457,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,3/5/2015 16:50,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Authentication data for the MMP databases are stored in the web.config file and user database in an unencrypted format. Find a way to store and utilize this information in an encrypted format.

(UPDATE: The core team has implemented a solution using domain service accounts as trusted connections that do not require application storage of credentials. Follow instructions in the attachment to set this up in app2012/simv-sql-3 and refine the documentation for CDSA Dam Neck)",,,,,,,,,,,,,,,19/May/15 5:48 PM;DavidTuell;MMP Trusted Accounts.docx;https://jira.dev.simventions.com/secure/attachment/12521/MMP+Trusted+Accounts.docx,,,"- App2012 and simv-sql-3 are modified to use a trusted connection specifically for MMP.
- All server configurations (IIS, Web Server, DB Server) are documented to allow replication by CDSA Dam Neck.
- Checklist for STIGs updated to set APP3340 as Not A Finding.",,,,,,MMP-409,,,,MMP,,,,USMC,2|hzxevz:,9.22337E+18,,,MMP Sprint 15,,,,8,,,20/Apr/15 8:48 AM;DavidTuell;Will await email from Dam Neck re: their use of trusted accounts + MMP team's proposed solution.,20/Apr/15 2:34 PM;DavidTuell;MMP/FACT admins are discussing the issue internally. Continuing to wait for decision on plain text credential mitigation.,19/May/15 4:49 PM;DavidTuell;Made small web.config change in master. No review needed.,,
Apply new MARCORSYSCOM PPT template,MMP-402,19406,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,3/4/2015 9:16,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The customer has sent a MARCORSYSCOM PowerPoint template with updated graphics (see attached). Update the slide generation capability's base template(s) with the new graphics.,,,,,,,,,,,,,,,04/Mar/15 9:17 AM;DavidTuell;MCSC Template.pptx;https://jira.dev.simventions.com/secure/attachment/12205/MCSC+Template.pptx,,,#NAME?,,,,,,MMP-2,,,,MMP,,,,USMC,2|hzxerj:,9.22337E+18,,,MMP Sprint 14,,,,1,,,11/May/15 8:47 AM;DavidTuell;No code changes required for this task. Team lead inspected and approved updated template header.,,,,
Add FOUO marking to slide templates,MMP-414,19455,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,3/5/2015 16:41,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,The PowerPoint templates for the slide generation capability do not have sensitivity markings.,,,,,,,,,,,,,,,,,,#NAME?,,,,,,MMP-409,,,,MMP,,,,USMC,2|hzxerb:,9.22337E+18,,,MMP Sprint 14,,,,1,,,11/May/15 8:47 AM;DavidTuell;No code changes involved for this task. Team lead inspected and approved updated template banner.,,,,
Modify MMP to not use an administrative database account,MMP-419,19460,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,3/5/2015 17:04,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Currently, the 'sa' database account is used to access the MMP databases. This results in a CAT I finding for application security STIGs. Modify MMP to no longer use the sa account. (May need Dam Neck to waive database administrative rights due to the tool's need to create databases and tables)",,,,,,,,,,,,,,,,,,"- 'sa' account no longer used in MMP
- In the STIG checklist, APP3500 and APP3540 are marked as Not A Finding",,,,,,MMP-409,,,,,,,,,2|hzxelb:,9.22337E+18,,,MMP Sprint 12,,,,8,,,09/Apr/15 12:17 PM;DavidTuell;See http://simvsp/sites/AMG/MCG/MMP/Technical%20Data%20%20Reports/MMP%20SQL%20Server%20Login%20Changes.docx for a list of steps taken.,,,,
Inadequate visual feedback and UI restriction when saving quads,MMP-363,19191,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,,DavidTuell,DavidTuell,2/18/2015 12:57,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Two issues need to be addressed with this item (from Release 1 Known Issues):

- No visual feedback is given when a PoR or Development Effort save is initiated. If a user edits a field in a PoR or Development Effort form while it is saving, it will be overwritten by the saved version once the update is complete. Wait for feedback indicating the save is complete before changing data fields.

- Navigating between tabs in the PoR or Development Effort details pages while a save is occurring puts the rich text editors in an unusable state. Wait for feedback indicating the save is complete before changing tabs.",,57600,0,,0%,57600,0,,,,,,,,30/Mar/15 9:59 AM;DavidTuell;MMP-363.docx;https://jira.dev.simventions.com/secure/attachment/12354/MMP-363.docx,,,#NAME?,,,,,,MMP-5,,,,MMP,,,,USMC,2|hzxeiv:,9.22337E+18,,,MMP Sprint 11,,,,3,,,,,,,
Home page does not check for the correct database,MMP-371,19202,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,2/18/2015 14:43,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"Most pages in the MMP tool ensure that Informedb Enterprise is accessing the correct database for queries. The home page does not do this, and this can cause errors or inconsistencies when the wrong database is accessed. ",,7200,0,,0%,7200,0,,,,,,,,27/Feb/15 9:33 AM;DavidTuell;MMP-371.docx;https://jira.dev.simventions.com/secure/attachment/12203/MMP-371.docx,,,- Home page correctly switches the user's Informedb Enterprise profile to the correct MMP database.,,,,,,,,,,MMP,,,,USMC,2|hzx69r:,9.22337E+18,,,MMP Sprint 9,,,,1,,,,,,,
"""Create"" modals add duplicate items if clicked more than once",MMP-355,19110,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,2/12/2015 10:07,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"When creating new Programs, Dev Efforts, or Roadmaps, the ""Add"" button in each dialog triggers a request for each time the button is clicked. The button is not truly disabled.",,7200,0,,0%,7200,0,,,,,,,,18/Feb/15 8:29 AM;DavidTuell;MMP-355.docx;https://jira.dev.simventions.com/secure/attachment/12108/MMP-355.docx,,,"- Clicking the ""Add"" button multiple times when creating new records has no effect",,,,,,,,,,MMP,,,,USMC,2|hzx67j:,9.22337E+18,,,MMP Sprint 8,,,,1,,,,,,,
Fix home page routing,MMP-180,17921,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,12/8/2014 9:30,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,,,"The MMP tool correctly routes to the customized dashboard from the banner page, but the user still goes to the old site when typing in the root URL.

Also, add a link somewhere in the old tool that routes back to the MMP dashboard (maybe add on the top nav bar?)",,57600,0,,0%,57600,0,,,,,,,,05/Mar/15 10:41 AM;DavidTuell;MMP-180.docx;https://jira.dev.simventions.com/secure/attachment/12212/MMP-180.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzx68v:,9.22337E+18,,,MMP Sprint 9,,,,5,,,,,,,
Update CAC Auth Structure to not Use Hardcoded Passwords,MMP-80,17170,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,10/30/2014 12:47,1/10/2020 13:12,6/1/2021 9:14,,,Release 2,,0,Core_Web_App,IA_Control,"As an MMP IAM, the MMP source code must not use hardcoded passwords as it is a security risk.",,,,,,,,,,,,,,,09/Apr/15 8:44 PM;MatthewDavis;MMP-80 Code Review.docx;https://jira.dev.simventions.com/secure/attachment/12409/MMP-80+Code+Review.docx,,,#NAME?,,,,,,MMP-409,,,,MMP,,,,USMC,2|hzxelj:,9.22337E+18,,,MMP Sprint 12,,,,13,,,,,,,
Generate Slide Deck from Roadmap Data,MMP-51,17095,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,DavidTuell,DavidTuell,DavidTuell,10/24/2014 13:51,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"As an MMP User, I would like to be able to generate slides from my roadmaps within the MMP website.",,,,,,,,,,,,,,,05/Aug/15 3:33 PM;DavidTuell;MMP-51.docx;https://jira.dev.simventions.com/secure/attachment/12812/MMP-51.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxldj:,9.22337E+18,"SoW 3.1.2d
HSI Item 3",,MMP Sprint 20,,,,5,,,,,,,
Account Creation Workflow does not Assign MMP Project to Users,MMP-83,17182,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,10/31/2014 11:15,1/10/2020 13:12,6/1/2021 9:14,,,Release 1,,0,,,"Changes in the 4.8-SNAPSHOT build of Informedb Enterprise now require users to be associated with a ""current project"" for ALL auth requests in the web app. New users aren't assigned the MMP project as the ""current project"" until accessing the site, which locks them completely out of the application until a manual entry is made in the DB.

Automate access to the MMP project at all points when an admin approves a new user.

(Developer's Note: Need to create and assign UserProfile and CustomerList attributes for new users)",,28800,0,,0%,28800,0,,,,,,,,30/Jan/15 9:11 AM;DavidTuell;MMP-83.docx;https://jira.dev.simventions.com/secure/attachment/12029/MMP-83.docx,,,#NAME?,,,,,,MMP-12,,,,MMP,,,,USMC,2|hzx64v:,9.22337E+18,,,MMP Sprint 7,,,,5,,,,,,,
Retrieve a list of development efforts with optional name search,MMP-77,17144,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,MatthewSerbinski,DavidTuell,DavidTuell,10/28/2014 15:17,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"As the FACT system, I need to be able to query MMP development efforts based on a simple text search for development efforts and associated objects.

Include one or more entry points in the MMP Web API that allows the user of the service to query MMP development efforts based on a simple text search on the name.",,,,,,,,,,,,,,,18/Jun/15 3:08 PM;DavidTuell;MMP-77.docx;https://jira.dev.simventions.com/secure/attachment/12586/MMP-77.docx,,,#NAME?,,,,,,MMP-4,,,,MMP,,,,USMC,2|hzxk1j:,9.22337E+18,,,MMP Sprint 17,,,,5,,,17/Jun/15 4:02 PM;MatthewSerbinski;code committed to branch MMP_536_REST_service,,,,
Stand up MMP VMs,MMP-673,25066,,Task,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,4 - Critical,,FredKrieg,DavidTuell,DavidTuell,4/2/2016 7:51,9/12/2016 12:19,6/1/2021 9:14,,,MMP 1.0.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzx6wn:,9.22337E+18,,,FY16 Maintenance,,,,8,,,,,,,
Timeline overlays visual elements on top of rows if date range is adjusted,MMP-730,34085,,Bug,New,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,,MattChild,MattChild,6/25/2018 13:01,3/25/2020 21:22,6/1/2021 9:14,,,,,0,,,,,,,,,,,,,,,,,,25/Jun/18 1:01 PM;MattChild;After_Adjusting_Date_Range.png;https://jira.dev.simventions.com/secure/attachment/16122/After_Adjusting_Date_Range.png,25/Jun/18 1:01 PM;MattChild;Before_Adjusting_Date_Range.png;https://jira.dev.simventions.com/secure/attachment/16121/Before_Adjusting_Date_Range.png,,,,,,,,,,,,,,,,,2|hzzu93:,9.22337E+18,,,,,,,,,,,,,,
New users see an error when they log in,MMP-729,34035,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,,MattChild,MattChild,6/13/2018 15:37,1/10/2020 13:12,6/1/2021 9:14,,,1.0.4,,0,,,"Server Error in '/' Application.

_The role 'User' was not found._

*Description:* An unhandled exception occurred during the execution of the current web request. Please review the stack trace for more information about the error and where it originated in the code. 
 
 *Exception Details:* System.Configuration.Provider.ProviderException: The role 'User' was not found.
 
 *Source Error:*
|An unhandled exception was generated during the execution of the current web request. Information regarding the origin and location of the exception can be identified using the exception stack trace below.|


 *Stack Trace:*
| 
[ProviderException: The role 'User' was not found.]
   System.Web.Security.SqlRoleProvider.AddUsersToRolesCore(SqlConnection conn, String usernames, String roleNames) +873
   System.Web.Security.SqlRoleProvider.AddUsersToRoles(String[] usernames, String[] roleNames) +942
   System.Web.Security.Roles.AddUserToRole(String username, String roleName) +219
   MRMWebMVC.Controllers.AccountController.SendSiteAccessRequest(SiteAccessRequest accessRequest) +660
   lambda_method(Closure , ControllerBase , Object[] ) +139
   System.Web.Mvc.ReflectedActionDescriptor.Execute(ControllerContext controllerContext, IDictionary`2 parameters) +253
   System.Web.Mvc.ControllerActionInvoker.InvokeActionMethod(ControllerContext controllerContext, ActionDescriptor actionDescriptor, IDictionary`2 parameters) +35
   System.Web.Mvc.Async.<>c__DisplayClass42.<BeginInvokeSynchronousActionMethod>b__41() +34
   System.Web.Mvc.Async.AsyncControllerActionInvoker.EndInvokeActionMethod(IAsyncResult asyncResult) +57
   System.Web.Mvc.Async.<>c__DisplayClass39.<BeginInvokeActionMethodWithFilters>b__33() +77
   System.Web.Mvc.Async.<>c__DisplayClass4f.<InvokeActionMethodFilterAsynchronously>b__49() +370
   System.Web.Mvc.Async.AsyncControllerActionInvoker.EndInvokeActionMethodWithFilters(IAsyncResult asyncResult) +57
   System.Web.Mvc.Async.<>c__DisplayClass2a.<BeginInvokeAction>b__20() +32
   System.Web.Mvc.Async.<>c__DisplayClass25.<BeginInvokeAction>b__22(IAsyncResult asyncResult) +184
   System.Web.Mvc.Async.AsyncControllerActionInvoker.EndInvokeAction(IAsyncResult asyncResult) +50
   System.Web.Mvc.<>c__DisplayClass1d.<BeginExecuteCore>b__18(IAsyncResult asyncResult) +24
   System.Web.Mvc.Async.<>c__DisplayClass4.<MakeVoidDelegate>b__3(IAsyncResult ar) +22
   System.Web.Mvc.Controller.EndExecuteCore(IAsyncResult asyncResult) +64
   System.Web.Mvc.Async.<>c__DisplayClass4.<MakeVoidDelegate>b__3(IAsyncResult ar) +22
   System.Web.Mvc.Controller.EndExecute(IAsyncResult asyncResult) +50
   System.Web.Mvc.<>c__DisplayClass8.<BeginProcessRequest>b__3(IAsyncResult asyncResult) +38
   System.Web.Mvc.Async.<>c__DisplayClass4.<MakeVoidDelegate>b__3(IAsyncResult ar) +22
   System.Web.Mvc.MvcHandler.EndProcessRequest(IAsyncResult asyncResult) +50
   System.Web.CallHandlerExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() +393
   System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) +195
   System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously) +128|

 

*Version Information:* Microsoft .NET Framework Version:4.0.30319; ASP.NET Version:4.7.2558.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzyzgn:,9.22337E+18,,,,,,,,,,,,,,
Allow Admins to Manage Access to MMP Databases,MMP-711,26137,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,,DavidTuell,DavidTuell,7/10/2016 15:24,1/10/2020 13:12,6/1/2021 9:14,,,1.0.1,,0,,,"As an MMP Administrator, I need the ability to grant and revoke access to individual MMP databases.",,,,,,,,,,,,,,,28/Aug/16 11:44 AM;DavidTuell;MMP-711.docx;https://jira.dev.simventions.com/secure/attachment/14005/MMP-711.docx,,,"- In the Edit User dialog of the admin page, the administrator has the ability to toggle a user's access to each MMP database.
- The Edit User dialog does not allow a user account to be saved if the status is Approved but they don't have access to any databases (this likely creates an error condition in InfEnt). ",,,,,,,,,,,,,,,2|hzxzvz:,9.22337E+18,,,FY16 Multi-Project,,,,3,,,,,,,
Ability to Switch Between MMP Databases,MMP-708,26134,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,,DavidTuell,DavidTuell,7/10/2016 15:16,1/10/2020 13:12,6/1/2021 9:14,,,1.0.1,,0,,,"As an MMP User, I need to be able to switch between MMP databases that I have access to.
",,,,,,,,,,,,,,,,,,"- The user has an option in the misc. menu (""hamburger icon"") to switch the database they wish to use.
- Invoking the option returns the user to the home page after switching databases.
- if the user does not have access to more than one database, the option is not available in the misc. menu.",,,,,,,,,,,,,,,2|hzxzvr:,9.22337E+18,,,FY16 Multi-Project,,,,2,,,"22/Aug/16 11:31 AM;DavidTuell;In-person review:

No findings.",,,,
Request Access to One or More MMP Databases,MMP-709,26135,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,,DavidTuell,DavidTuell,7/10/2016 15:17,1/10/2020 13:12,6/1/2021 9:14,,,1.0.1,,0,,,"As an MMP User, I need the ability to specify which organizations I will be using the tool to support so I can be granted access to the correct databases.

Modify the Account Request form to include all available MMP databases.

Avoid hardcoding database names if possible.",,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,,,,,,2|hzxzvj:,9.22337E+18,,,FY16 Multi-Project,,,,8,,,"22/Aug/16 11:31 AM;DavidTuell;In-person review: 

Remove redundant == true check.",,,,
"Add ability to track/edit username, organization, and phone number of users",MMP-688,25360,,Story,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewDavis,DavidTuell,DavidTuell,5/2/2016 13:58,1/10/2020 13:12,6/1/2021 9:14,,,MMP 1.0.1,,0,,,"As an MMP administrator, I need to be able to edit username, organization, and phone number of users.

(Dev note: Implement a ""display name"" profile value that is used in the dialog and the site, while retaining the ""username"" as is already pulled from the CAC)",,,,,,,,,,,,MMP-697,,,,,,"- MMP admins can edit a user's display name (required field)
- By default, the system should assign a display name of CAC ID with DoD ID number stripped off.
- Default display name is assigned at login time for migrating. Don't use database migration scripts.
- MMP admins can edit a user's organization (not a required field)
- MMP admins can edit a user's phone number (not a required field)
- Organization and phone number for users is initially assigned from form data when requesting an account.",,,,,,,,,,,,,,,2|hzxwef:,9.22337E+18,,,FY16 Maintenance,,,,5,,,"09/May/16 7:24 AM;DavidTuell;Reviewed, no findings","17/May/16 12:02 PM;FredKrieg;5/17/2016 Fred K and Andrew C ran Zephyr test MMP-697 successfully, test written by Dave T on 5/16/17.  
The test was run in association with MMP-679 earlier the same day, and did not need to be run a second time for MMP-688 because no changes were made to the code or data after the first test.",,,
Slide generator not stripping invalid XML characters,MMP-661,21346,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewDavis,DavidTuell,DavidTuell,7/23/2015 12:14,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,"On the live site, there was an error with generating one of the quad charts. Diagnosing the problem led to an invalid XML character residing in one of the quad charts in the ShortName field.

Patch the slide generation code to strip invalid XML characters from data being passed in.",,,,,,,,,,,,,,,03/Aug/15 10:00 AM;DavidTuell;MMP-661.docx;https://jira.dev.simventions.com/secure/attachment/12805/MMP-661.docx,,,#NAME?,,,,,,,,,,MMP,,,,USMC,2|hzxfd3:,9.22337E+18,,,MMP Sprint 20,,,,3,,,,,,,
Sanitize untrusted data when creating tables,MMP-619,21008,,Bug,Closed,MMP,MMP,software,MattChild,Adaptation of the Informedb Enterprise web application for the USMC Modernization Master Plan (MMP),,3 - Major,,MatthewDavis,DavidTuell,DavidTuell,6/26/2015 9:05,1/10/2020 13:12,6/1/2021 9:14,,,Release 3,,0,,,The code for generating table-based output in the FACT surrogate uses string concatenation to build table markup. (createTable function and popover content function in site.js). Refactor to use jQuery .text() setter or document.createTextNode to sanitize untrusted data.,,,,,,,,,,,,,,,21/Jul/15 11:36 AM;DavidTuell;MMP-619.docx;https://jira.dev.simventions.com/secure/attachment/12704/MMP-619.docx,,,- Markup for rendering tables in the surrogate passes a script injection test (<script></script> in a data field).,,,,,,MMP-3,,,,MMP,,,,USMC,2|hzxfc7:,9.22337E+18,,,MMP Sprint 19,,,,3,,,,,,,
